code,college,school,areas_of_interest,exam,test_or_quiz,essay_or_report,participation,oral_presentation,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link,title,session,career,units,delivery_type,subject,other,session_list,school_list,college_list,blurb_clean
MGMT7169,College of Business and Economics,Research School of Management,"Management, Marketing",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MGMT7169_Time_Series_LRN.pdf,A Management Framework For Business Projects,Second Semester,Postgraduate,6,In Person,MGMT,TRUE,,,,NA
DIPL8020,College of Asia and the Pacific,Department of International Relations,NA,FALSE,TRUE,TRUE,TRUE,FALSE,50,essay/report,Final Research Essay,NA,https://programsandcourses.anu.edu.au/course/DIPL8020/Autumn%20Session/5468,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/DIPL8020_Time_Series_LRN.pdf,A Sociology of Diplomacy,Autumn Session,Postgraduate,6,Online or In Person,DIPL,FALSE,,,,NA
CBEA6070,College of Business and Economics,NA,"Accounting, Business Information Systems, Finance, International Business, Project Management",FALSE,FALSE,TRUE,FALSE,FALSE,20,other,Final Placement Evaluation (20%) - Host,"To be eligible for the CBE Internship Program, students must be a current postgraduate student enrolled in a CBE academic program. At the time of application, students must be enrolled in or have completed 24 units of study at the ANU. Students enrolled in an eligible 1 year Master program can only apply for a 6 unit internship. Students will be selected to enrol in the course following a competitive application process.",https://programsandcourses.anu.edu.au/course/CBEA6070/First%20Semester/2415,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/CBEA6070_Time_Series_LRN.pdf,ANU College of Business and Economics Internship Program (PG),First Semester / Second Semester,Postgraduate,6,In Person,CBEA,FALSE,,,,"to be eligible for the cbe internship program, students must be a current postgraduate student enrolled in a cbe academic program. at the time of application, students must be enrolled in or have completed 24 units of study at the anu. students enrolled in an eligible 1 year master program can only apply for a 6 unit internship. students will be selected to enrol in the course following a competitive application process"
CBEA3070,College of Business and Economics,NA,"Accounting, Business Information Systems, Commerce, Economics, Project Management",FALSE,FALSE,TRUE,FALSE,FALSE,20,essay/report,Final Internship Report (20%),"To be eligible for the CBE Internship Program, students must be a current undergraduate student enrolled in a CBE academic program (including single or double degrees). The student must have completed a minimum 72 units of their undergraduate studies with GPA of 5.0 for their entire academic career. A student with a fail grade (N, NCN, WN) in the preceding semester is ineligible to apply. Any unresolved grades will be dealt with on a case-by-case basis. Students must not undertake CBEA3070 and CBEA3001 concurrently. Students will be selected to enrol in the course following a competitive application process.",https://programsandcourses.anu.edu.au/course/CBEA3070/First%20Semester/2525,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/CBEA3070_Time_Series_LRN.pdf,ANU College of Business and Economics Internship Program (UG),First Semester / Second Semester,Undergraduate,6,In Person,CBEA,FALSE,,,,"to be eligible for the cbe internship program, students must be a current undergraduate student enrolled in a cbe academic program (including single or double degrees). the student must have completed a minimum 72 units of their undergraduate studies with gpa of 5. 0 for their entire academic career. a student with a fail grade (n, ncn, wn) in the preceding semester is ineligible to apply. any unresolved grades will be dealt with on a case-by-case basis. students must not undertake cbea3070 and cbea3001 concurrently. students will be selected to enrol in the course following a competitive application process"
EXTN1007A,College of Asia and the Pacific,School of Culture History and Language,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must be studying a Diploma of Studies,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1007A_Time_Series_LRN.pdf,ANU Extension Advanced Japanese A,NA,Undergraduate,0,In Person,EXTN,TRUE,,,,to enrol in this course you must be studying a <<program:diploma of studies>>
EXTN1007B,College of Asia and the Pacific,School of Culture History and Language,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have successfully completed EXTN1007A,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1007B_Time_Series_LRN.pdf,ANU Extension Advanced Japanese B,NA,Undergraduate,6,In Person,EXTN,TRUE,,,,to enrol in this course you must have successfully completed extn1007a
EXTN1001A,College of Science and Medicine,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must be studying a Diploma of Studies,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1001A_Time_Series_LRN.pdf,ANU Extension Astrophysics A,NA,Undergraduate,0,In Person,EXTN,TRUE,,,,to enrol in this course you must be studying a <<program:diploma of studies>>
EXTN1001B,College of Science and Medicine,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have successfully completed EXTN1001A,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1001B_Time_Series_LRN.pdf,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6,In Person,EXTN,TRUE,,,,to enrol in this course you must have successfully completed extn1001a
EXTN1004A,College of Science and Medicine,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must be studying a Diploma of Studies,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1004A_Time_Series_LRN.pdf,ANU Extension Biodiversity A,NA,Undergraduate,0,In Person,EXTN,TRUE,,,,to enrol in this course you must be studying a <<program:diploma of studies>>
EXTN1004B,College of Science and Medicine,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have successfully completed EXTN1004A,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1004B_Time_Series_LRN.pdf,ANU Extension Biodiversity B,Autumn Session,Undergraduate,6,In Person,EXTN,TRUE,,,,to enrol in this course you must have successfully completed extn1004a
