code,title,session,career,units,delivery_type
MGMT7169,A Management Framework For Business Projects,Second Semester,Postgraduate,6,In Person
DIPL8020,A Sociology of Diplomacy,Autumn Session,Postgraduate,6,Online or In Person
CBEA6070,ANU College of Business and Economics Internship Program (PG),First Semester / Second Semester,Postgraduate,6,In Person
CBEA3070,ANU College of Business and Economics Internship Program (UG),First Semester / Second Semester,Undergraduate,6,In Person
EXTN1007A,ANU Extension Advanced Japanese A,,Undergraduate,0,In Person
EXTN1007B,ANU Extension Advanced Japanese B,,Undergraduate,6,In Person
EXTN1001A,ANU Extension Astrophysics A,,Undergraduate,0,In Person
EXTN1001B,ANU Extension Astrophysics B,Autumn Session,Undergraduate,6,In Person
EXTN1004A,ANU Extension Biodiversity A,,Undergraduate,0,In Person
EXTN1004B,ANU Extension Biodiversity B,Autumn Session,Undergraduate,6,In Person
EXTN1002A,ANU Extension Chemistry A,,Undergraduate,0,In Person
EXTN1002B,ANU Extension Chemistry B,Autumn Session,Undergraduate,6,In Person
EXTN1003A,ANU Extension Continuing Chinese A,,Undergraduate,0,In Person
EXTN1003B,ANU Extension Continuing Chinese B,,Undergraduate,6,In Person
EXTN1006A,ANU Extension Continuing Japanese A,,Undergraduate,0,In Person
EXTN1006B,ANU Extension Continuing Japanese B,Autumn Session,Undergraduate,6,In Person
EXTN1019A,ANU Extension Creative Computing A,,Undergraduate,0,In Person
EXTN1019B,ANU Extension Creative Computing B,Autumn Session,Undergraduate,6,In Person
EXTN1005A,ANU Extension Discovering Engineering A,,Undergraduate,0,In Person
EXTN1005B,ANU Extension Discovering Engineering B,Autumn Session,Undergraduate,6,In Person
EXTN1020B,ANU Extension Global Perspectives in Commerce B,Autumn Session,Undergraduate,6,In Person
EXTN1010A,ANU Extension Indonesian Politics and Culture A,,Undergraduate,0,In Person
EXTN1010B,ANU Extension Indonesian Politics and Culture B,,Undergraduate,6,In Person
EXTN1008A,ANU Extension Korean Language and Culture A,,Undergraduate,0,In Person
EXTN1008B,ANU Extension Korean Language and Culture B,,Undergraduate,6,In Person
EXTN1011A,ANU Extension Physics A,,Undergraduate,0,In Person
EXTN1011B,ANU Extension Physics B,Autumn Session,Undergraduate,6,In Person
EXTN1012A,ANU Extension Specialist Mathematics A,,Undergraduate,0,In Person
EXTN1012B,ANU Extension Specialist Mathematics B,Autumn Session,Undergraduate,6,In Person
BIOL6188,ANU SynBio Challenge Team Project,Second Semester,Postgraduate,6,In Person
BIOL3188,ANU SynBio Challenge Team Project,Second Semester,Undergraduate,6,In Person
SCNC5922,ANU/NUS JD (Band 2 NP),First Semester / Second Semester,Undergraduate,6,In Person
HLTH3001,Aboriginal and Torres Strait Islander Health,First Semester,Undergraduate,6,In Person
HIST2022,Aboriginal and Torres Strait Islander History,First Semester,Undergraduate,6,In Person
PHYS8203,Accelerators and their Application,First Semester,Postgraduate,6,In Person
BUSN6051,Accounting Analytics,,Postgraduate,6,In Person
BUSN7051,Accounting Analytics,,Postgraduate,6,In Person
BUSN4500,Accounting Honours Thesis,First Semester / Second Semester,Undergraduate,6,In Person
INFS7004,Accounting Information Systems,First Semester / Second Semester,Postgraduate,6,In Person
INFS2005,Accounting Information Systems,First Semester / Second Semester,Undergraduate,6,In Person
BUSN1002,Accounting Processes and Systems,First Semester / Second Semester,Undergraduate,6,In Person
BUSN3001,Accounting Theory,First Semester / Second Semester,Undergraduate,6,In Person
BUSN8068,Accounting for Sustainability,First Semester / Second Semester,Postgraduate,6,In Person
ASIA8021,Activism and Social Change in Asia and the Pacific,,Postgraduate,6,In Person
ACST4031,Actuarial Control Cycle 1,First Semester,Undergraduate,6,In Person
ACST8040,Actuarial Control Cycle 1,First Semester,Postgraduate,6,In Person
ACST8041,Actuarial Control Cycle 2,Second Semester,Postgraduate,6,In Person
ACST4032,Actuarial Control Cycle 2,Second Semester,Undergraduate,6,In Person
ACST4062,Actuarial Data Analysis,Second Semester,Undergraduate,6,In Person
ACST6032,Actuarial Data Analysis,Second Semester,Postgraduate,6,In Person
ACST3032,Actuarial Data Analysis,Second Semester,Undergraduate,6,In Person
ACST4500,Actuarial Honours Thesis,First Semester / Second Semester,Undergraduate,6,In Person
STAT6045,Actuarial Techniques,Second Semester,Postgraduate,6,In Person
STAT3038,Actuarial Techniques,Second Semester,Undergraduate,6,In Person
ENGL2067,Adaptation: From Text to Screen,Second Semester,Undergraduate,6,In Person
LAWS6201,Administrative Law,First Semester,Postgraduate,6,In Person
LAWS2201,Administrative Law,First Semester,Undergraduate,6,In Person
BUSN3051,Advanced Accounting Data Analytics,Second Semester,Undergraduate,6,In Person
LAWS4262,Advanced Administrative Law,,Undergraduate,6,In Person
LAWS8462,Advanced Administrative Law,,Postgraduate,6,Online or In Person
MATH2322,"Advanced Algebra 1: Groups, Rings and Linear Algebra",Second Semester,Undergraduate,6,In Person
MATH3345,Advanced Algebra 2: Field extensions and Galois Theory,First Semester,Undergraduate,6,In Person
COMP4600,Advanced Algorithms,,Undergraduate,6,In Person
COMP8460,Advanced Algorithms,,Postgraduate,6,In Person
MATH2320,Advanced Analysis 1: Metric Spaces and Applications,First Semester,Undergraduate,6,In Person
MATH3320,Advanced Analysis 2: Lebesgue Integration and Hilbert Spaces,First Semester,Undergraduate,6,In Person
BUSN8051,Advanced Analytics in Contemporary Accounting,First Semester / Second Semester,Postgraduate,6,In Person
GREK3125,Advanced Ancient Greek,First Semester / Second Semester,Undergraduate,6,In Person
PSYC8521,Advanced Applications in Psychological Practice,Second Semester,Postgraduate,6,In Person
IDEC8064,Advanced Applied Microeconomics,First Semester,Postgraduate,6,Online or In Person
ARAB3001,Advanced Arabic 1,First Semester,Undergraduate,6,Online or In Person
ARAB3002,Advanced Arabic 2,Second Semester,Undergraduate,6,Online or In Person
ARAB3100,Advanced Arabic 3,,Undergraduate,6,Online
PSYC8510,Advanced Assessment in Professional Psychology,First Semester,Postgraduate,6,In Person
ECON3180,Advanced Behavioral Economics,,Undergraduate,6,In Person
ECON4480,Advanced Behavioral Economics,,Undergraduate,6,In Person
ECON8080,Advanced Behavioral Economics,,Postgraduate,6,In Person
ECON6080,Advanced Behavioral Economics,,Postgraduate,6,In Person
EMET8020,Advanced Case Studies in Applied Econometrics and Applied Economics,,Postgraduate,6,In Person
MATH3228,Advanced Complex Analysis,Second Semester,Undergraduate,6,In Person
COMP4820,Advanced Computing Internship,First Semester / Second Semester,Undergraduate,12,In Person
COMP4560,Advanced Computing Project,Summer Session / First Semester / Second Semester,Undergraduate,6,In Person
COMP8800,Advanced Computing Research Project,First Semester / Second Semester,Postgraduate,12,In Person
COMP8715,Advanced Computing Team Project,First Semester / Second Semester,Postgraduate,6,In Person
LAWS8218,Advanced Contracts,,Postgraduate,6,Online or In Person
ENGN8224,Advanced Control Systems,Second Semester,Postgraduate,6,In Person
