code,college,school,areas_of_interest,next_offering,assessment_types,assessment_weights,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link
MGMT7169,College of Business and Economics,Research School of Management,"Management, Marketing",Jul 2025,"['other', 'other', 'other', 'participation']","{'Assignment 1: Project analysis': 20.0, 'Assignment 2 – Business Case': 30.0, 'Assignment 3: Business Case Analysis': 40.0, 'Assignment 4: Class Contribution': 10.0}",40.0,other,Assignment 3: Business Case Analysis,,https://programsandcourses.anu.edu.au/2024/course/MGMT7169/Second%20Semester/8510,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MGMT7169_Time_Series_LRN.pdf
DIPL8020,College of Asia and the Pacific,Department of International Relations,,,"['participation', 'essay/report', 'essay/report', 'test/quiz/midsem']","{'Seminar Participation': 10.0, 'Short Essay': 30.0, 'Final Research Essay': 50.0, 'Online Quiz': 10.0}",50.0,essay/report,Final Research Essay,,https://programsandcourses.anu.edu.au/course/DIPL8020/Autumn%20Session/5469,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/DIPL8020_Time_Series_LRN.pdf
CBEA6070,College of Business and Economics,,"Accounting, Business Information Systems, Finance, International Business, Project Management",Jul 2025,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection', 'essay/report']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (10%)': 10.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0, 'Final Report Presentation (10%)': 10.0}",20.0,other,Final Placement Evaluation (20%) - Host,"To be eligible for the CBE Internship Program, students must be a current postgraduate student enrolled in a CBE academic program. 
 At the time of application, students must be enrolled in or have completed 24 units of study at the ANU. Students enrolled in an eligible 1 year Master program can only apply for a 6 unit internship. 
 Students will be selected to enrol in the course following a competitive application process.",https://programsandcourses.anu.edu.au/course/CBEA6070/First%20Semester/3032,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/CBEA6070_Time_Series_LRN.pdf
CBEA3070,College of Business and Economics,,"Accounting, Business Information Systems, Commerce, Economics, Project Management",Jul 2025,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",20.0,essay/report,Final Internship Report (20%),"To be eligible for the CBE Internship Program, students must be a current undergraduate student enrolled in a CBE academic program (including single or double degrees). 
 The student must have completed a minimum 72 units of their undergraduate studies with GPA of 5.0 for their entire academic career. 
 A student with a fail grade (N, NCN, WN) in the preceding semester is ineligible to apply. Any unresolved grades will be dealt with on a case-by-case basis. Students must not undertake CBEA3070  and CBEA3001  concurrently. 
 Students will be selected to enrol in the course following a competitive application process.",https://programsandcourses.anu.edu.au/course/CBEA3070/First%20Semester/2422,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/CBEA3070_Time_Series_LRN.pdf
EXTN1007A,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1007A_Time_Series_LRN.pdf
EXTN1007B,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1007A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1007B_Time_Series_LRN.pdf
EXTN1001A,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1001A_Time_Series_LRN.pdf
EXTN1001B,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1001A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1001B_Time_Series_LRN.pdf
EXTN1004A,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1004A_Time_Series_LRN.pdf
EXTN1004B,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1004A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1004B_Time_Series_LRN.pdf
