code,title,study_type,career,atar,years,delivery_type
4050FDD,"Flexible Double Degree - Arts, Social Sciences, Business, Science",Single,Undergraduate,-,4,In Person
BACCT,Bachelor of Accounting,Flexible,Undergraduate,80,3,In Person
HACCT,Bachelor of Accounting (Honours),Single,Undergraduate,-,1,In Person
BACTS,Bachelor of Actuarial Studies,Flexible,Undergraduate,92,3,In Person
HACTS,Bachelor of Actuarial Studies (Honours),Single,Undergraduate,-,1,In Person
AACOM,Bachelor of Advanced Computing (Honours),Flexible,Undergraduate,85,4,In Person
AACRD,Bachelor of Advanced Computing (Research and Development) (Honours),Flexible,Undergraduate,98,4,In Person
BADAN,Bachelor of Applied Data Analytics,Flexible,Undergraduate,90,3,In Person
HADAN,Bachelor of Applied Data Analytics (Honours),Single,Undergraduate,-,1,In Person
HAPRC,Bachelor of Archaeological Practice (Honours),Single,Undergraduate,-,1,In Person
HAHCR,Bachelor of Art History and Curatorship (Honours),Single,Undergraduate,-,1,In Person
BARTS,Bachelor of Arts,Flexible,Undergraduate,80,3,In Person
HARTS,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
HART2,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
BARTY,Bachelor of Arts (with Year in Asia),Single,Undergraduate,-,4,In Person
BAPAF,Bachelor of Asia-Pacific Affairs,Single,Undergraduate,82,4,In Person
BAPAR,Bachelor of Asia-Pacific Affairs (Ritsumeikan),Single,Undergraduate,82,4,In Person
BASIA,Bachelor of Asian Studies,Flexible,Undergraduate,80,3,In Person
HASIA,Bachelor of Asian Studies (Honours),Single,Undergraduate,-,1,In Person
BASY,Bachelor of Asian Studies (with Year in Asia),Single,Undergraduate,-,4,In Person
BBIOT,Bachelor of Biotechnology,Flexible,Undergraduate,80,3,In Person
HBIOT,Bachelor of Biotechnology (Honours),Single,Undergraduate,-,1,In Person
BBUSA,Bachelor of Business Administration,Flexible,Undergraduate,80,3,In Person
HBUSA,Bachelor of Business Administration (Honours),Single,Undergraduate,-,1,In Person
HCLAS,Bachelor of Classical Studies (Honours),Single,Undergraduate,-,1,In Person
BCOMM,Bachelor of Commerce,Flexible,Undergraduate,80,3,In Person
HCOMM,Bachelor of Commerce (Honours),Single,Undergraduate,-,1,In Person
BCOMP,Bachelor of Computing,Flexible,Undergraduate,80,3,In Person
HCOMP,Bachelor of Computing (Honours),Single,Undergraduate,-,1,In Person
BCRIM,Bachelor of Criminology,Flexible,Undergraduate,80,3,Multi-Modal
HCRIM,Bachelor of Criminology (Honours),Single,Undergraduate,-,1,In Person
BDESN,Bachelor of Design,Flexible,Undergraduate,-,3,In Person
HDESN,Bachelor of Design (Honours),Single,Undergraduate,-,1,In Person
HDEVS,Bachelor of Development Studies (Honours),Single,Undergraduate,-,1,In Person
BDEVY,Bachelor of Development Studies (with Year in Asia),Single,Undergraduate,-,4,In Person
BECON,Bachelor of Economics,Flexible,Undergraduate,80,3,In Person
HECON,Bachelor of Economics (Honours),Single,Undergraduate,-,1,In Person
AENGI,Bachelor of Engineering (Honours),Flexible,Undergraduate,85,4,In Person
AENSE,Bachelor of Engineering (Honours) in Software Engineering,Flexible,Undergraduate,85,4,In Person
AENRD,Bachelor of Engineering (Research and Development) (Honours),Flexible,Undergraduate,98,4,In Person
BENSU,Bachelor of Environment and Sustainability,Flexible,Undergraduate,80,3,In Person
HENSU,Bachelor of Environment and Sustainability (Honours),Single,Undergraduate,-,1,In Person
HENVS,Bachelor of Environmental Studies (Honours),Single,Undergraduate,-,1,In Person
HEURO,Bachelor of European Studies (Honours),Single,Undergraduate,-,1,In Person
BFINN,Bachelor of Finance,Flexible,Undergraduate,80,3,In Person
HFINN,Bachelor of Finance (Honours),Single,Undergraduate,-,1,In Person
AFEST,"Bachelor of Finance, Economics and Statistics (Honours)",Single,Undergraduate,98,4,In Person
BGENE,Bachelor of Genetics,Flexible,Undergraduate,85,3,In Person
HGENE,Bachelor of Genetics (Honours),Single,Undergraduate,-,1,In Person
